OBJECTID,SourceOID,DiscoveryAcres,FireDiscoveryDateTime,IncidentName,x,y,POOCounty,POOState,UniqueFireIdentifier
135668,803685,500.0,2015-06-22,Wrench Lake,-159.22,65.6755000000001,Yukon-Koyukuk,US-AK,2015-AKGAD-000522
97110,23304790,500.0,2022-02-09,Taylor Creek,-99.3445,32.7723300000001,Shackelford,US-TX,2022-TXTXS-220730
289722,1012459,500.0,2015-09-29,Beggs,-100.518,33.5123,King,US-TX,2015-TXTXS-001009
227544,2059708,500.0,2016-12-30,136-3,-101.63633333,35.48633333,Potter,US-TX,2016-TXTXS-001045
190690,18698790,500.0,2021-02-05,Bent Twig,-99.4768999999999,32.5648,Shackelford,US-TX,2021-TXTXS-210388
36235,3911775,500.0,2018-03-24,C-30-B RX Burn,-81.508889,33.3402780000001,Barnwell,US-SC,2018-SCSRF-180046
241562,22147992,500.0,2021-10-27,La Gloria,-98.514,26.725786,Starr,US-TX,2021-TXTXS-213082
356195,32920791,500.0,2024-03-02,Brushy Crossing,-84.9905556,30.2097222,Liberty,US-FL,2024-FLFNF-000769
203028,3480599,500.0,2017-09-05,SAWMILL CREEK,-121.4358,47.1631600000001,King,US-WA,2017-WASPS-000177
154352,18275988,500.0,2021-01-14,May,-98.975466667,31.9645333330001,Brown,US-TX,2021-TXTXS-210091
124129,2178376,500.0,2017-03-18,Humboldt Creek Fire,-96.6777777999999,38.9947222000001,Geary,US-KS,2017-KSGEX-000354
173951,15881588,500.0,2020-10-11,Box Car,-107.48122078,47.4217054580001,Garfield,US-MT,2020-MTMCD-000406
96578,19036792,500.0,2021-03-19,BIG BUCK HOLLOW,-94.94382,36.30078,Delaware,US-OK,2021-OKCNA-000577
97167,3471970,500.0,2017-09-01,Whiskey,-113.4036,42.8010600000001,Blaine,US-ID,2017-IDBLX-000394
248384,20133604,500.0,2021-06-19,BIG DITCH,-76.34827,34.9376300000001,Carteret,US-NC,2021-NCCDR-210177
102769,4637169,500.0,2018-07-02,QUINCY LAKE ,-119.7517,47.2819000000001,Grant,US-WA,2018-WASPD-000247
283706,3909672,500.0,2018-03-23,Taylor,-101.05666666,34.316,Briscoe,US-TX,2018-TXTXS-000301
283037,1037724,500.0,2015-10-16,ARAPAHO,-106.283,40.6497000000001,Jackson,US-CO,2015-COARR-000469
97224,6707982,500.0,2019-08-14,Harvey,-99.6144148879999,32.6479868440001,Jones,US-TX,2019-TXTXS-190217
220344,23846685,500.0,2022-07-15,Mustang,-97.53409917,32.5256669,Johnson,US-TX,2022-TXTXS-223941
197182,23834183,500.0,2022-05-16,Pope 2,-100.2344444,30.7288889,Schleicher,US-TX,2022-TXTXS-222978
315173,28035495,500.0,2023-06-18,MCGREGOR,-105.6116667,32.5191667,Otero,US-NM,2023-NMLCD-000417
139266,4981570,500.0,2018-09-08,WAHLUKE SLOPE,-119.4873,46.7583900000001,Grant,US-WA,2018-WAMCR-000605
130061,3818729,500.0,2018-01-30,Ledgerock,-98.17366666,30.035,Hays,US-TX,2018-TXTXS-000123
138081,4510373,500.0,2018-06-09,Apple NM,-103.0173,36.9020400000001,Union,US-NM,2018-NMN2S-000387
241171,20968392,500.0,2021-08-10,Morgan - Dawson,-104.9274,47.3651400000001,Dawson,US-MT,2021-MTLG16-000446
230808,3336444,500.0,2017-07-22,Bowers Ranch,-101.0974,35.8056,Hutchinson,US-TX,2017-TXTXS-001026
182813,23388393,500.0,2022-02-15,Seep Draw Complex,-100.943649686,31.1905507650001,Irion,US-TX,2022-TXTXS-221013
281030,21849590,500.0,2021-10-05,Beaches Lake,-96.58,48.8800000000001,Kittson,US-MN,2021-MNMNS-121230
163838,23831602,500.0,2022-05-01,BEAR TRAP,-107.5328,33.850278,Socorro,US-NM,2022-NMCIF-000138
287236,19943607,500.0,2021-06-05,0281 RN,-120.6562,45.6949800000001,Sherman,US-OR,2021-ORNMAN-000281
229088,806245,500.0,2015-06-23,Hamlin Creek,-149.183,65.9,Yukon-Koyukuk,US-AK,2015-AKUYD-000536
92234,3265541,500.0,2017-07-08,Coyote,-113.58833,41.6380600000001,Box Elder,US-UT,2017-UTSLD-000454
67279,3092156,500.0,2017-06-17,LAKE,-118.61611,34.5047200000001,Los Angeles,US-CA,2017-CAANF-002273
145338,1384563,500.0,2016-06-20,BEAM ROAD,-120.132,46.4385600000001,Yakima,US-WA,2016-WASPD-000170
258233,11543581,500.0,2020-07-24,Monarch,-101.082,30.038666667,Val Verde,US-TX,2020-TXTXS-200329
227211,7037577,500.0,2019-10-07,Powell Lease,-100.5716933,30.6868417000001,Sutton,US-TX,2019-TXTXS-190477
110278,6501584,500.0,2019-07-23,Notch Butte ,-114.4022,42.88221,Lincoln,US-ID,2019-IDTFD-000168
159681,4765174,500.0,2018-07-27,Goose Creek ,-114.0654,41.8073000000001,Elko,US-NV,2018-NVEKD-010229
203399,1099388,500.0,2015-12-21,Sunday Evening,-101.405,35.8886000000001,Hutchinson,US-TX,2015-TXTXS-001016
65066,23861956,500.0,2022-09-21,Crystal Lake,-98.59556,43.7014,Aurora,US-SD,2022-SDSDS-220762
279609,23831074,500.0,2022-04-27,Spinning Spurs,-102.5477,35.2684,Oldham,US-TX,2022-TXTXS-222805
237336,11138780,500.0,2020-07-17,Ten Mile,-105.2759,46.5883600000001,Prairie,US-MT,2020-MTLG45-000144
268722,7318774,500.0,2019-11-20,Peacock,-80.74445,28.6191670000001,Brevard,US-FL,2019-FLMIR-000547
237271,23826806,500.0,2022-03-31,Double Barrel,-100.9805556,35.4827778,Gray,US-TX,2022-TXTXS-222269
252907,952448,500.0,2015-08-20,Wilhelm Lane,-99.9766,31.0288,Menard,US-TX,2015-TXTXS-002019
45387,3575875,500.0,2017-09-28,Ag Burn Greg Branson,-116.35,46.6333330000001,Latah,US-ID,2017-IDLG49-000919
134431,1472378,500.0,2016-07-15,Little Melo,-153.94092,65.26775,Yukon-Koyukuk,US-AK,2016-AKTAD-000512
91528,5866376,500.0,2019-03-19,Keota,-104.003,40.69904,Weld,US-CO,2019-COARF-000073
200605,20343196,500.0,2021-07-07,MUSSELSHELL TRAIL RD,-107.7395,46.3149900000001,Yellowstone,US-MT,2021-MTLG03-210269
305274,28025608,500.0,2023-04-07,Indian Hills,-96.72694,39.4861,Riley,US-KS,2023-KSRLX-000436
145128,7749587,500.0,2020-02-29,HOLLY SPRINGS BB 114,-89.37445,34.3671400000001,Lafayette,US-MS,2020-MSMNF-000082
167126,1582943,500.0,2016-08-10,Montrose,-103.7558333,42.9461111000001,Sioux,US-NE,2016-NENBF-160693
208190,6597974,500.0,2019-07-31,Buckhorn Ranch,-98.714593,31.0296910000001,San Saba,US-TX,2019-TXTXS-190152
280229,23030791,500.0,2022-01-15,Green Road,-98.293055556,29.4383333330001,Bexar,US-TX,2022-TXTXS-220275
238585,9871181,500.0,2020-06-19,Slade,-100.864,32.063,Sterling,US-TX,2020-TXTXS-200224
264434,3269098,500.0,2017-07-09,Loveridge,-115.667,42.79997,Owyhee,US-ID,2017-IDMHQ-000202
